256,1,99%,6824,0
256,2,199%,6648,0
256,4,399%,6920,0
256,8,799%,6920,0
256,12,1198%,6996,0
256,16,1597%,7028,0
512,1,99%,6708,0
512,2,199%,6952,0
512,4,399%,6744,0
512,8,799%,6820,0
512,12,1198%,7136,0
512,16,1597%,7148,0
1024,1,99%,6824,0
1024,2,199%,6800,0
1024,4,399%,6804,0
1024,8,799%,7024,0
1024,12,1198%,7140,0
1024,16,1597%,7224,0
2048,1,99%,6616,0
2048,2,199%,6736,0
2048,4,399%,6808,0
2048,8,799%,7040,0
2048,12,1198%,6948,0
2048,16,1597%,7116,0
4096,1,99%,6928,0
4096,2,199%,6732,0
4096,4,399%,6844,0
4096,8,799%,7012,0
4096,12,1198%,7096,0
4096,16,1597%,7360,0
8192,1,99%,6780,0
8192,2,199%,6976,0
8192,4,399%,7000,0
8192,8,799%,7032,0
8192,12,1198%,7084,0
8192,16,1597%,7616,0
12288,1,99%,6932,0
12288,2,199%,6848,0
12288,4,399%,6900,0
12288,8,799%,7100,0
12288,12,1198%,7584,0
12288,16,1597%,7556,0
16384,1,99%,6864,0
16384,2,199%,6992,0
16384,4,399%,6968,0
16384,8,799%,7156,0
16384,12,1198%,7384,0
16384,16,1597%,7880,0
20480,1,99%,6696,0
20480,2,199%,6804,0
20480,4,399%,7016,0
20480,8,799%,7348,0
20480,12,1198%,7424,0
20480,16,1597%,7872,0
24576,1,99%,6960,0
24576,2,199%,6800,0
24576,4,399%,7220,0
24576,8,799%,7312,0
24576,12,1198%,7872,0
24576,16,1597%,7996,0
32768,1,99%,6884,0
32768,2,199%,7064,0
32768,4,399%,7172,0
32768,8,799%,7552,0
32768,12,1198%,7912,0
32768,16,1597%,8380,0
65536,1,99%,7040,0
65536,2,199%,7216,0
65536,4,399%,7320,0
65536,8,799%,8228,0
65536,12,1198%,8756,0
65536,16,1597%,9164,0
