256,1,99%,6924,0
256,2,199%,6744,0
256,4,399%,7032,0
256,8,799%,7128,0
256,12,1198%,6948,0
256,16,1597%,7224,0
512,1,99%,6836,0
512,2,199%,6728,0
512,4,399%,6960,0
512,8,799%,7124,0
512,12,1198%,6952,0
512,16,1597%,7284,0
1024,1,99%,6928,0
1024,2,199%,6656,0
1024,4,399%,7020,0
1024,8,799%,6820,0
1024,12,1198%,7016,0
1024,16,1597%,7416,0
2048,1,99%,6908,0
2048,2,199%,6672,0
2048,4,399%,6924,0
2048,8,799%,7116,0
2048,12,1198%,7284,0
2048,16,1597%,7368,0
4096,1,99%,6688,0
4096,2,199%,6664,0
4096,4,399%,6840,0
4096,8,799%,6856,0
4096,12,1198%,7168,0
4096,16,1597%,7264,0
8192,1,99%,6804,0
8192,2,199%,6744,0
8192,4,399%,6864,0
8192,8,799%,7252,0
8192,12,1198%,7136,0
8192,16,1597%,7404,0
12288,1,99%,6840,0
12288,2,199%,6900,0
12288,4,399%,7124,0
12288,8,799%,7000,0
12288,12,1198%,7408,0
12288,16,1597%,7448,0
16384,1,99%,6852,0
16384,2,199%,6780,0
16384,4,399%,7224,0
16384,8,799%,7144,0
16384,12,1198%,7612,0
16384,16,1597%,7880,0
20480,1,99%,6900,0
20480,2,199%,6820,0
20480,4,399%,6976,0
20480,8,799%,7312,0
20480,12,1198%,7604,0
20480,16,1597%,7756,0
24576,1,99%,6828,0
24576,2,199%,6824,0
24576,4,399%,6984,0
24576,8,799%,7292,0
24576,12,1198%,7700,0
24576,16,1597%,7904,0
32768,1,99%,6980,0
32768,2,199%,7080,0
32768,4,399%,7124,0
32768,8,799%,7480,0
32768,12,1198%,7684,0
32768,16,1597%,8204,0
65536,1,99%,6816,0
65536,2,199%,7108,0
65536,4,399%,7444,0
65536,8,799%,7916,0
65536,12,1198%,8528,0
65536,16,1597%,15132,0
