256,1,99%,6788,0
256,2,199%,6744,0
256,4,399%,6744,0
256,8,799%,6888,0
256,12,1198%,7072,0
256,16,1597%,7116,0
512,1,99%,6708,0
512,2,199%,6720,0
512,4,399%,7028,0
512,8,799%,6920,0
512,12,1198%,7072,0
512,16,1597%,7368,0
1024,1,99%,6988,0
1024,2,199%,6804,0
1024,4,399%,7028,0
1024,8,799%,7036,0
1024,12,1198%,7132,0
1024,16,1597%,7164,0
2048,1,99%,6636,0
2048,2,199%,6712,0
2048,4,399%,6928,0
2048,8,799%,7032,0
2048,12,1198%,6988,0
2048,16,1597%,7228,0
4096,1,99%,6688,0
4096,2,199%,6868,0
4096,4,399%,6976,0
4096,8,799%,7260,0
4096,12,1198%,7312,0
4096,16,1597%,7148,0
8192,1,99%,6776,0
8192,2,199%,6752,0
8192,4,399%,6860,0
8192,8,799%,7028,0
8192,12,1198%,7320,0
8192,16,1597%,7568,0
12288,1,99%,6660,0
12288,2,199%,6992,0
12288,4,399%,6888,0
12288,8,799%,7164,0
12288,12,1198%,7176,0
12288,16,1597%,7588,0
16384,1,99%,6856,0
16384,2,199%,7008,0
16384,4,399%,7052,0
16384,8,799%,7292,0
16384,12,1198%,7380,0
16384,16,1597%,7692,0
20480,1,99%,6720,0
20480,2,199%,6808,0
20480,4,399%,7032,0
20480,8,799%,7292,0
20480,12,1198%,13620,0
20480,16,1597%,7688,0
24576,1,99%,6960,0
24576,2,199%,6720,0
24576,4,399%,7292,0
24576,8,799%,7292,0
24576,12,1198%,7520,0
24576,16,1597%,7880,0
32768,1,99%,6980,0
32768,2,199%,6996,0
32768,4,399%,7176,0
32768,8,799%,7300,0
32768,12,1198%,7760,0
32768,16,1597%,8212,0
65536,1,99%,6764,0
65536,2,199%,7204,0
65536,4,399%,7480,0
65536,8,799%,7844,0
65536,12,1198%,8608,0
65536,16,1597%,9180,0
